File Name,Datetime,Exp Time,Filter,JD,Time,Orbit
idky01f7q_flt.fits,2018-03-05 16:05:32,223.73819,G141,2458183.17051893,182.01628793030977,0.0
idky01f8q_flt.fits,2018-03-05 16:09:34,223.73819,G141,2458183.17331967,424.0002242149785,0.0
idky01f9q_flt.fits,2018-03-05 16:13:36,223.73819,G141,2458183.17612078,666.0161282401532,0.0
idky01faq_flt.fits,2018-03-05 16:17:38,223.73819,G141,2458183.17892152,908.0000638961792,0.0
idky01fbq_flt.fits,2018-03-05 16:21:40,223.73819,G141,2458183.18172263,1150.0159679213539,0.0
idky01fcq_flt.fits,2018-03-05 16:25:42,223.73819,G141,2458183.18452337,1391.9999042060226,0.0
idky01fdq_flt.fits,2018-03-05 16:29:44,223.73819,G141,2458183.18732449,1634.0166719863191,0.0
idky01feq_flt.fits,2018-03-05 16:33:46,223.73819,G141,2458183.19012523,1876.0006082709879,0.0
idky01ffq_flt.fits,2018-03-05 16:37:48,223.73819,G141,2458183.19292634,2118.0165122961625,0.0
idky01fgq_flt.fits,2018-03-05 16:41:50,223.73819,G141,2458183.19572708,2360.0004479521886,0.0
idky01fhq_flt.fits,2018-03-05 16:45:52,223.73819,G141,2458183.19852819,2602.0163519773632,0.0
idky01foq_flt.fits,2018-03-05 17:40:54,223.73819,G141,2458183.2367456,5904.000576096587,1.0
idky01fpq_flt.fits,2018-03-05 17:44:56,223.73819,G141,2458183.23954671,6146.016480121762,1.0
idky01fqq_flt.fits,2018-03-05 17:48:58,223.73819,G141,2458183.24234745,6388.00041640643,1.0
idky01frq_flt.fits,2018-03-05 17:53:00,223.73819,G141,2458183.24514856,6630.016320431605,1.0
idky01fsq_flt.fits,2018-03-05 17:57:02,223.73819,G141,2458183.2479493,6872.000256087631,1.0
idky01ftq_flt.fits,2018-03-05 18:01:04,223.73819,G141,2458183.25075041,7114.016160112806,1.0
idky01fuq_flt.fits,2018-03-05 18:05:06,223.73819,G141,2458183.25355152,7356.03206413798,1.0
idky01fvq_flt.fits,2018-03-05 18:09:08,223.73819,G141,2458183.25635226,7598.016000422649,1.0
idky01fwq_flt.fits,2018-03-05 18:13:10,223.73819,G141,2458183.259153,7839.999936078675,1.0
idky01fyq_flt.fits,2018-03-05 18:17:12,223.73819,G141,2458183.26195412,8082.016703858972,1.0
idky01fzq_flt.fits,2018-03-05 18:21:14,223.73819,G141,2458183.26475486,8324.00064014364,1.0
