P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168547701e+02 4.414461857170595067e+03 1.184220378066525164e-01 7.277322038738098797e-01 1.526269259906977704e-01 3.789445536997365421e-04 8.119923480077514960e-06 4.586055638787783642e-04 2.569504828556759418e-08 8.310183624852954940e-06 5.072269965426900957e-05 9.935071721883996810e-06 5.722820940770284791e-06 5.406781678652216724e-07 2.145441175945619747e-06 3.855903066581462663e-08 9.104453894059502270e-09 1.047923978299113312e-10 6.277982165485112991e-06 1.889083311584829629e-06 4.758665899323507116e-07 4.101300675242372792e-08 8.640036326152660458e-07 6.238953093612114178e-06 1.854897325896981796e-07 4.521316850014405646e-05 5.612670871695648385e-05 2.336167427155283451e-06 1.177241663165413561e-05 2.032045504760460764e-06
3.246479068522336888e+02 4.114335762414870260e+03 9.535369797340517706e-02 7.489318157887836502e-01 1.544941209020191941e-01 3.763402176199308292e-04 5.171546745552639878e-06 4.799886472768323249e-04 2.669385894662526312e-08 6.313869064886699742e-06 5.632448846464350079e-05 1.076659750895891777e-05 4.095589640048490856e-06 2.672497642047902312e-07 2.503382569876288422e-06 4.795347011317717770e-08 1.299017119317089364e-08 1.331136267219528268e-10 4.906042555223834823e-06 1.426950834350093339e-06 2.519133750542351467e-07 4.080109462735927297e-08 7.388415932110125554e-07 4.553069580725743604e-06 1.586046097480217251e-07 4.725518222964219763e-05 5.870176474074053350e-05 2.673407653837326603e-06 1.898919843355664544e-05 1.981907601101100976e-06
2.048389811985380220e+02 3.832033533233591243e+03 7.384276324254544777e-02 7.686945197889091252e-01 1.562360102432388542e-01 3.740085086455639286e-04 3.364485588344774130e-06 4.941122184571428936e-04 2.752447707725506140e-08 4.740223356327001697e-06 6.026153314341451870e-05 1.176002314542055319e-05 2.823249410648527185e-06 1.280999908824154514e-07 2.840109102685509174e-06 6.037952509497157023e-08 1.865826089227864568e-08 1.722913457516276428e-10 3.757852448692722532e-06 1.032670385094042378e-06 1.245643995516166223e-07 4.227339524700746752e-08 6.028191265016440399e-07 3.227203486008387677e-06 1.331622282443963930e-07 4.900900543922111994e-05 6.080157225031574661e-05 2.971686749631014521e-06 2.875859156532172009e-05 1.936824990297657592e-06
1.292446596230576574e+02 3.560537135594913707e+03 5.410965550128529061e-02 7.868245830613792569e-01 1.578346541155250804e-01 3.709269405993311083e-04 2.289060314879609476e-06 5.039367532473689598e-04 2.833998351419910515e-08 3.553581315504352467e-06 6.298055318293737444e-05 1.297159753846645236e-05 1.906146110789553956e-06 6.087214510923360773e-08 3.136533155734700337e-06 7.727215031789205424e-08 2.710231333274084994e-08 2.290581319306826163e-10 2.818509327485295508e-06 7.042600388115323804e-07 5.619710488047815265e-08 4.654231471621385854e-08 4.702972424001307644e-07 2.215011369203266754e-06 1.096840143110384284e-07 5.049560197152711991e-05 6.249782909124030456e-05 3.221726665886449265e-06 3.978692234513330205e-05 1.900417579175614678e-06
8.154786722401098586e+01 3.297827473033226852e+03 3.699797754037159603e-02 8.025474160389828304e-01 1.592214546546590614e-01 3.679712385805929218e-04 1.649006169985527116e-06 5.110092081783963822e-04 2.937999707798612964e-08 2.677771984126364213e-06 6.483777934140971474e-05 1.442085903838234149e-05 1.266581668066200990e-06 2.877496760011299702e-08 3.372623014873486165e-06 1.001483556921889802e-07 3.975896774213865513e-08 3.161582091507063787e-10 2.066927286982221254e-06 4.483469098422826528e-07 2.274618150816025978e-08 5.522129902810933228e-08 3.514175871179625079e-07 1.466969171765204241e-06 8.848390436020165675e-08 5.171858877153428873e-05 6.382830452798110565e-05 3.419340594300419401e-06 4.955678959047674672e-05 1.867767107098431306e-06
5.145322575168533774e+01 3.039832548079269145e+03 2.305145245110416102e-02 8.153648894637074429e-01 1.603524015412935988e-01 3.663996141542713841e-04 1.282949404330910883e-06 5.161169124290647609e-04 3.092626238820821550e-08 2.044103203643197346e-06 6.609814791948258751e-05 1.612527851234416091e-05 8.288952549530724263e-07 1.353177936375156499e-08 3.540979030270145504e-06 1.303675377082469507e-07 5.844680882697810437e-08 4.602901283092824600e-10 1.477239039192985730e-06 2.619373359839074852e-07 8.021139334738152160e-09 7.220974025995697172e-08 2.514711304482577608e-07 9.306839045205913133e-07 6.974204188140498169e-08 5.269156548019065503e-05 6.483549640536954007e-05 3.568025031753547862e-06 5.618819863361568430e-05 1.822767769649087081e-06
3.246479068522326372e+01 2.777814603707443439e+03 1.247444321220510764e-02 8.250873588851441731e-01 1.612106335863335294e-01 3.661932207796118866e-04 1.130405850147564418e-06 5.196574089074392422e-04 3.327130832383896602e-08 1.602145762465924305e-06 6.693707767644822674e-05 1.806197867472760847e-05 5.360908050968396225e-07 6.403641610993201099e-09 3.646225406071228236e-06 1.672713547576718214e-07 8.432559933478830141e-08 7.234105225487016938e-10 1.021574400908493004e-06 1.343737580375068356e-07 2.302134632304316673e-09 1.080806333587700616e-07 1.713397215299381610e-07 5.567462546806323416e-07 5.346827787592211603e-08 5.343771193029390250e-05 6.556552924991951086e-05 3.674890634605969353e-06 5.959006404708662127e-05 1.716165939497814584e-06
2.048389811985377662e+01 2.519187244510386790e+03 5.747724110102699589e-03 8.312861203719854597e-01 1.617580308171919223e-01 3.662371806859771365e-04 1.157985389889264962e-06 5.217478247113374471e-04 3.663854627484903153e-08 1.297419256089672024e-06 6.745762155738889269e-05 1.989538821127137902e-05 3.444838738355372729e-07 3.087546691910255847e-09 3.698527290190442582e-06 2.021404475831023140e-07 1.130999183347479839e-07 1.227310733928271960e-09 6.820960839376921330e-07 5.909721393725614538e-08 5.172700385881256194e-10 1.791705002388596081e-07 1.109946274857970386e-07 3.119305397276850630e-07 3.973197325632505667e-08 5.396241588027747723e-05 6.603779761059969707e-05 3.744645308614907099e-06 6.073166884259738037e-05 1.429890643828928787e-06
1.292446596230575651e+01 2.313556086892042458e+03 2.738273673995835541e-03 8.340700520357764436e-01 1.620038704636092841e-01 3.657948006030744647e-04 1.158632391569782425e-06 5.227405036647394176e-04 4.046781168389124983e-08 1.038787232771220286e-06 6.776491369646497486e-05 2.098692377104418856e-05 2.207920638457427569e-07 1.478944194437199377e-09 3.716778080711182240e-06 2.219307808153865786e-07 1.329545745528000702e-07 2.001361250303728095e-09 4.566167355443823412e-07 2.701455577224815800e-08 1.201680379091197617e-10 2.599791655245626515e-07 7.164661771529219899e-08 1.756931815134256115e-07 2.915639287666299590e-08 5.427114090203146628e-05 6.627764934757004729e-05 3.782653281936925640e-06 6.081983521755738936e-05 9.955980933039666792e-07
8.154786722401082599e+00 2.193817024164468421e+03 1.781511999102937697e-03 8.349536249199174254e-01 1.620817001527987133e-01 3.651370398329803089e-04 8.679372849060368615e-07 5.233978514072667272e-04 4.343004980539213079e-08 7.704164870228500384e-07 6.797479892766191149e-05 2.131879674372577559e-05 1.410056175671637315e-07 6.698312647869520872e-10 3.722143404833569163e-06 2.306810646562151847e-07 1.414211077113710624e-07 2.734609301742217437e-09 3.228634126558685262e-07 1.715295755923580937e-08 4.431704121261979684e-11 2.876546129493021827e-07 4.933069365169782388e-08 1.102549850988895502e-07 2.185199898787342542e-08 5.443119772540905169e-05 6.637787741369191867e-05 3.804025668800297335e-06 6.070816697342772838e-05 6.941263792691249490e-07
