#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
1.000553076518779783e-01 4.524143312861309596e+01 4.257465542575477002e+02 2.111720684814453307e+03
1.004555288824854897e-01 2.796262699217007608e+01 2.631435670055322475e+02 2.111720684814453307e+03
1.008573509980154326e-01 3.277834518152541676e+01 2.727424996212882320e+02 2.388281254577636901e+03
1.012607804020075053e-01 4.276860798624240090e+01 3.088650029229011693e+02 2.751741764719893126e+03
1.016658235236155422e-01 5.065907530894052258e+01 3.298150896786467570e+02 3.052375778198242188e+03
1.020724868177099870e-01 4.067092424247802285e+01 2.456627127493472926e+02 3.290001231123761499e+03
1.024807767649808382e-01 6.206634744754599353e+01 4.606920414058628239e+02 2.677298165670255457e+03
1.028906998720407612e-01 7.168792303199160187e+01 3.666125125546409436e+02 3.885885292611471414e+03
1.033022626715289355e-01 6.415172350229232734e+01 2.771906373724352193e+02 4.599186633598514163e+03
1.037154717222150413e-01 8.067598023801511431e+01 2.955521034426069491e+02 5.424521792457216179e+03
1.041303336091038839e-01 8.849946956525258202e+01 2.852980024932734295e+02 6.164433879573170088e+03
1.045468549435403099e-01 8.420537399021813485e+01 2.414845061873948566e+02 6.929498413085937500e+03
1.049650423633144702e-01 1.072035036147862002e+02 2.742232939793724995e+02 7.768835001627604470e+03
1.053849025327677214e-01 1.431394872178718458e+02 3.235107942150100371e+02 8.792693673270088766e+03
1.058064421428987906e-01 1.665437689524209759e+02 3.403911766310935150e+02 9.723023972284227057e+03
1.062296679114703990e-01 1.599299367112270716e+02 3.053532817787612998e+02 1.040826726017441615e+04
1.066545865831162732e-01 2.211198858269720233e+02 3.849737063839710913e+02 1.141426615397135356e+04
1.070812049294487533e-01 1.655433112322554337e+02 2.333068887068083370e+02 1.410052677598110495e+04
1.075095297491665408e-01 2.494052799740181570e+02 3.237989688604114917e+02 1.530669553960755729e+04
1.079395678681632220e-01 2.680932199076094662e+02 3.079555531046536885e+02 1.730011750545058021e+04
1.083713261396358624e-01 2.228091538415085893e+02 2.262739927326994689e+02 1.956814469022529011e+04
1.088048114441943909e-01 3.266438568839245704e+02 2.985652339082473645e+02 2.174135069691051103e+04
1.092400306899711654e-01 3.086723358469303662e+02 2.481799109711309370e+02 2.471623671420784376e+04
1.096769908127310511e-01 3.961767169956499401e+02 3.000425841509347720e+02 2.623960623446377940e+04
1.101156987759819850e-01 1.268531847501299808e+03 3.513174303209597156e+02 7.175512733043324261e+04
1.105561615710859147e-01 1.686225307887171084e+03 1.628921376366500908e+02 2.057153706276633311e+05
1.109983862173702651e-01 1.625699026134983114e+03 1.431963991264736364e+02 2.256105011985084857e+05
1.114423797622397516e-01 1.521312710228160086e+03 1.028367221559608709e+02 2.939825348455255735e+05
1.118881492812886930e-01 1.359080282546040280e+03 7.493646718694020592e+01 3.604152501736111008e+05
1.123357018784138517e-01 2.112657796858619804e+03 1.203286759749685046e+02 3.489082838689630735e+05
1.127850446859275102e-01 2.331458743804248115e+03 1.252870053997014566e+02 3.698051609809027868e+05
1.132361848646712132e-01 9.686828923564854676e+02 3.856763720481449553e+01 4.991256152777777170e+05
