#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
1.000553076518779783e-01 2.389316372122362100e-02
1.004555288824854897e-01 2.550343320577469486e-02
1.008573509980154326e-01 2.553639064636859662e-02
1.012607804020075053e-01 2.559785071050060812e-02
1.016658235236155422e-01 2.551298986244865397e-02
1.020724868177099870e-01 2.532304976013934408e-02
1.024807767649808382e-01 2.552489518037918265e-02
1.028906998720407612e-01 2.545959429766993937e-02
1.033022626715289355e-01 2.530228505596573280e-02
1.037154717222150413e-01 2.541005118464794571e-02
1.041303336091038839e-01 2.542642792034908658e-02
1.045468549435403099e-01 2.528946606253591745e-02
1.049650423633144702e-01 2.544174432205369846e-02
1.053849025327677214e-01 2.547832786937435229e-02
1.058064421428987906e-01 2.550518780892053333e-02
1.062296679114703990e-01 2.527351203137531699e-02
1.066545865831162732e-01 2.541354154577138771e-02
1.070812049294487533e-01 2.531304452061773971e-02
1.075095297491665408e-01 2.531950794216884792e-02
1.079395678681632220e-01 2.539065323859809181e-02
1.083713261396358624e-01 2.516171843676210523e-02
1.088048114441943909e-01 2.528299598051945291e-02
1.092400306899711654e-01 2.515029193146647857e-02
1.096769908127310511e-01 2.530797534189348219e-02
1.101156987759819850e-01 2.612980348252869761e-02
1.105561615710859147e-01 2.608979400617046640e-02
1.109983862173702651e-01 2.584495824379415274e-02
1.114423797622397516e-01 2.572234419917902859e-02
1.118881492812886930e-01 2.546070147402393347e-02
1.123357018784138517e-01 2.554818228597912494e-02
1.127850446859275102e-01 2.530088991966584003e-02
1.132361848646712132e-01 2.506304070521070404e-02
1.136891296041298988e-01 2.510973996169168360e-02
1.141438861225464035e-01 2.536703262847583851e-02
1.146004616670366072e-01 2.507146402793342110e-02
1.150588635137047705e-01 2.511295650837173932e-02
1.155190989677595953e-01 2.512915208642649278e-02
1.159811753636306314e-01 2.529386374946239469e-02
1.164451000650851553e-01 2.494016889847312790e-02
1.169108804653455069e-01 2.493004754753613134e-02
1.173785239872068981e-01 2.483670897437916664e-02
1.178480380831557206e-01 2.491132622408865835e-02
1.183194302354883543e-01 2.483187105454396498e-02
1.187927079564302935e-01 2.517271187478837408e-02
1.192678787882560099e-01 2.556030313157548611e-02
1.197449503034090645e-01 2.492400924672305909e-02
1.202239301046226783e-01 2.502511417285377057e-02
1.207048258250411760e-01 2.481579006048321989e-02
1.211876451283413342e-01 2.517334146311435081e-02
1.216723957088547137e-01 2.516620111295000267e-02
1.221590852916901310e-01 2.510940215092771419e-02
1.226477216328568792e-01 2.511623247347857801e-02
1.231383125193883099e-01 2.526034398321427149e-02
1.236308657694658586e-01 2.524953102060033955e-02
1.241253892325437369e-01 2.543910539595472392e-02
1.246218907894739159e-01 2.553172344505010016e-02
1.251203783526317892e-01 2.551360247309874749e-02
1.256208598660423226e-01 2.562083267689026223e-02
1.261233433055065078e-01 2.574128816747431325e-02
1.266278366787285392e-01 2.579028521660988588e-02
1.271343480254434610e-01 2.560982120436168519e-02
1.276428854175452321e-01 2.580791712751457148e-02
1.281534569592154005e-01 2.598095842286935603e-02
1.286660707870522780e-01 2.585316196879215017e-02
1.291807350702004475e-01 2.568726320699002419e-02
1.296974580104812425e-01 2.575280852594689224e-02
1.302162478425231973e-01 2.606765858124385216e-02
1.307371128338932764e-01 2.602725294097858050e-02
1.312600612852288795e-01 2.589717325723979099e-02
1.317851015303697915e-01 2.605110627032605070e-02
1.323122419364912705e-01 2.610201428570693705e-02
1.328414909042372472e-01 2.611996219085659793e-02
1.333728568678542170e-01 2.609715314824177790e-02
1.339063482953256612e-01 2.621606537676290927e-02
1.344419736885069383e-01 2.621191761969453651e-02
1.349797415832609815e-01 2.622810460937198204e-02
1.355196605495940232e-01 2.619706588612955023e-02
1.360617391917924301e-01 2.626450528535982654e-02
1.366059861485595939e-01 2.631040241346786421e-02
1.371524100931538481e-01 2.634702935317564249e-02
1.377010197335264696e-01 2.632631910362981387e-02
1.382518238124605670e-01 2.627976510478391078e-02
1.388048311077104136e-01 2.632026290416126374e-02
1.393600504321412248e-01 2.635112230147902343e-02
1.399174906338697677e-01 2.640759549166404527e-02
1.404771605964052761e-01 2.635159197968178074e-02
1.410390692387908651e-01 2.637751286834796871e-02
1.416032255157460562e-01 2.630349557614467676e-02
1.421696384178090522e-01 2.643783336543612666e-02
1.427383169714803168e-01 2.638967958754807192e-02
1.433092702393662099e-01 2.626921448293585010e-02
1.438825073203236771e-01 2.637052500017983414e-02
1.444580373496049674e-01 2.622457379893270921e-02
1.450358694990033503e-01 2.640287612806253847e-02
1.456160129769993872e-01 2.631990223809552859e-02
1.461984770289073976e-01 2.622022181817522737e-02
1.467832709370230082e-01 2.636785624255078009e-02
1.473704040207710897e-01 2.635225168714960126e-02
1.479598856368541382e-01 2.644528986651521058e-02
1.485517251794015725e-01 2.631681836093846885e-02
1.491459320801191979e-01 2.621366989520706320e-02
1.497425158084396690e-01 2.626106797984394808e-02
1.503414858716734248e-01 2.610575764125743631e-02
1.509428518151600951e-01 2.624811691388875823e-02
1.515466232224207677e-01 2.635488877004993000e-02
1.521528097153104220e-01 2.620059594018541230e-02
1.527614209541716672e-01 2.625491342577443085e-02
1.533724666379883694e-01 2.619209159685754670e-02
1.539859565045403056e-01 2.607213630332074275e-02
1.546019003305584838e-01 2.642880898692855085e-02
1.552203079318807133e-01 2.625061073847259618e-02
1.558411891636082569e-01 2.628264493729280671e-02
1.564645539202626778e-01 2.632021704112290361e-02
1.570904121359437411e-01 2.612761037913915313e-02
1.577187737844875093e-01 2.617660207185224658e-02
1.583496488796254653e-01 2.602919518724520348e-02
1.589830474751439959e-01 2.585986536667340269e-02
1.596189796650445414e-01 2.604091512761143312e-02
1.602574555837047166e-01 2.610422741508590383e-02
1.608984854060395708e-01 2.593800208396541962e-02
1.615420793476636807e-01 2.593226866011240361e-02
1.621882476650543525e-01 2.576901910639818605e-02
1.628370006557145755e-01 2.589494526910392919e-02
1.634883486583374457e-01 2.585459512135244997e-02
1.641423020529707844e-01 2.556475273484190569e-02
1.647988712611826723e-01 2.584948009230228494e-02
1.654580667462274002e-01 2.623273406251980244e-02
1.661198990132123077e-01 2.585165158468551161e-02
1.667843786092651215e-01 2.586775285535619986e-02
1.674515161237022098e-01 2.569201273588572060e-02
1.681213221881969755e-01 2.551456232006456618e-02
1.687938074769497754e-01 2.545721435029650592e-02
1.694689827068575905e-01 2.525078729181262638e-02
1.701468586376850278e-01 2.537610973366001554e-02
1.708274460722357391e-01 2.562444475856887754e-02
1.715107558565246715e-01 2.559873222329850720e-02
1.721967988799507909e-01 2.563857771813684780e-02
1.728855860754705820e-01 2.565875896667522971e-02
1.735771284197724640e-01 2.540767471426817747e-02
1.742714369334515678e-01 2.535846745257457763e-02
1.749685226811853456e-01 2.525197622100157704e-02
1.756683967719100681e-01 2.492485387959206961e-02
1.763710703589977391e-01 2.483181483678773699e-02
1.770765546404337309e-01 2.506176202538985473e-02
1.777848608589954471e-01 2.510299444611614056e-02
1.784960003024314568e-01 2.504886282357167426e-02
1.792099843036411844e-01 2.509726264274586560e-02
1.799268242408557650e-01 2.492113654808133377e-02
1.806465315378191772e-01 2.505989906031332731e-02
1.813691176639704306e-01 2.487048269428018474e-02
1.820945941346263086e-01 2.475876130571413175e-02
1.828229725111648329e-01 2.463236919867546615e-02
1.835542644012094771e-01 2.469557754492519852e-02
1.842884814588143239e-01 2.470412899809795726e-02
1.850256353846495561e-01 2.486074446549000130e-02
1.857657379261881403e-01 2.455078893928943490e-02
1.865088008778928996e-01 2.441173438704605583e-02
1.872548360814044743e-01 2.457196422369486988e-02
1.880038554257300876e-01 2.447035095637130342e-02
1.887558708474330049e-01 2.429431900268843800e-02
1.895108943308226879e-01 2.422697899027863311e-02
1.902689379081460019e-01 2.426352882097448233e-02
1.910300136597785636e-01 2.410618155823865058e-02
1.917941337144176972e-01 2.394742482613787873e-02
1.925613102492753359e-01 2.397491966415300074e-02
1.933315554902724498e-01 2.389007433938671390e-02
1.941048817122335568e-01 2.387679161672289288e-02
1.948813012390824828e-01 2.382371190157333077e-02
1.956608264440388156e-01 2.370582064759204147e-02
1.964434697498149418e-01 2.368213171252928073e-02
1.972292436288141937e-01 2.358635376432255404e-02
1.980181606033294406e-01 2.372606188222814438e-02
1.988102332457427346e-01 2.365156740870026641e-02
1.996054741787257336e-01 2.360665219895698164e-02
2.004038960754406518e-01 2.354772322463219783e-02
2.012055116597424309e-01 2.360062377798031324e-02
2.020103337063813842e-01 2.359831294395882059e-02
2.028183750412069219e-01 2.358198573207652762e-02
2.036296485413717494e-01 2.348261924616365515e-02
2.044441671355372303e-01 2.323896530408178437e-02
2.052619438040793887e-01 2.322628388771081839e-02
2.060829915792957157e-01 2.321652667212783377e-02
