P[bar] T[K] H H2 He H2O CH4 CO CO2 NH3 N2 H2S HCN C2H2 Na K TiO VO FeH e- H- PH3 CaH MgH CrH Fe Mg Ca SiO AlH
5.145322575168547701e+02 4.289817378126763288e+03 9.935011305729025965e-02 7.452462135716558800e-01 1.541755823993996299e-01 3.910671471316354221e-04 9.741260248860595663e-06 4.631569561047917420e-04 2.644133097278717526e-08 9.060041444621729450e-06 5.220330731781711042e-05 1.108024591121186032e-05 5.832808980552245413e-06 5.612053668767729151e-07 2.385587424499867377e-06 4.592747640926385830e-08 1.084949809227493217e-08 1.189172058481921087e-10 6.245839371675320070e-06 1.542035557284349529e-06 3.719532038185169121e-07 5.390734852046456199e-08 8.930177385392187776e-07 6.053996463943042816e-06 1.894678795140225767e-07 4.579357625011689883e-05 5.701657963370349290e-05 2.457020910597320203e-06 1.389182893366612995e-05 2.144788717720381863e-06
3.246479068522336888e+02 3.988105398342844637e+03 7.765178326172501866e-02 7.651879759602729925e-01 1.559311831230479617e-01 3.854053888590450757e-04 6.380029342184008416e-06 4.838728829846489850e-04 2.736050304414092805e-08 6.874616123334063380e-06 5.740961301015741811e-05 1.204810807089335691e-05 4.165865611015233127e-06 2.803382604146053914e-07 2.740025289548845337e-06 5.786064437821422350e-08 1.555242479863274223e-08 1.521054912624355283e-10 4.837615170304867313e-06 1.130534809651357299e-06 1.882185973138795135e-07 5.527103942864056794e-08 7.475676318438387322e-07 4.353242575330373402e-06 1.611476495708323698e-07 4.782046705287568990e-05 5.952304011660017221e-05 2.781831733299833579e-06 2.221615946886393796e-05 2.097627678423089004e-06
2.048389811985380220e+02 3.702891938920966822e+03 5.792601922582354956e-02 7.833131423864454490e-01 1.575279825241587273e-01 3.799596864213283863e-04 4.298805849128354894e-06 4.974957972294317011e-04 2.813926760510572334e-08 5.170315290031848921e-06 6.103561124246483351e-05 1.318298371758490584e-05 2.872410084007892617e-06 1.361190099694088354e-07 3.053466836660735299e-06 7.365993805495843502e-08 2.251482513918571178e-08 1.992326226700980526e-10 3.666879566049216622e-06 7.871880322575727183e-07 8.785252818365836317e-08 5.943984217631443179e-08 5.969319727166143238e-07 3.031990531146804787e-06 1.344065389957292755e-07 4.954117704573311439e-05 6.153959789120161709e-05 3.062932091801310512e-06 3.291762444967570085e-05 2.056205956805879331e-06
1.292446596230576574e+02 3.428232205243105909e+03 4.051134344731161657e-02 7.993155010536745486e-01 1.589383951484648894e-01 3.744929144618927433e-04 3.047407734175208905e-06 5.067823719433730200e-04 2.899634512925055191e-08 3.893228721171501038e-06 6.351664120736435148e-05 1.452488360835000533e-05 1.937672247396911921e-06 6.534092221912458874e-08 3.309888402283160918e-06 9.492244878304641589e-08 3.302875277095604569e-08 2.700476862735678954e-10 2.716206748222584857e-06 5.124964674885490812e-07 3.693536636328400416e-08 6.839047598582139488e-08 4.555306214867957436e-07 2.037611709482757744e-06 1.097880859364475790e-07 5.097251115723605114e-05 6.313180763776295786e-05 3.293795450481043066e-06 4.402201938392515584e-05 2.020764765935772113e-06
8.154786722401098586e+01 3.161137393149751006e+03 2.606914746613805609e-02 8.125882635028498502e-01 1.601087014442442447e-01 3.703402090058889660e-04 2.310596073786708954e-06 5.132253232064554888e-04 3.023161784101870495e-08 2.958099971967459962e-06 6.519316815928029394e-05 1.608210366333717416e-05 1.283246072243339117e-06 3.107891071845632470e-08 3.498115169893384587e-06 1.229324566378521176e-07 4.888043931102443261e-08 3.840620469746434136e-10 1.962075855713647707e-06 3.080814162479163177e-07 1.367866968273021601e-08 8.556447860541933808e-08 3.325377173153806629e-07 1.314596657697062722e-06 8.764810543564099800e-08 5.212369529628587387e-05 6.434467179110862835e-05 3.473237297005561333e-06 5.282127142743256709e-05 1.979221277843912939e-06
5.145322575168533774e+01 2.898883592186803071e+03 1.504037086673440902e-02 8.227283254313073613e-01 1.610032085940029389e-01 3.682621660744637569e-04 1.919898464444263665e-06 5.175882974044094002e-04 3.213024385578930773e-08 2.286977435628250129e-06 6.630707216072159900e-05 1.781163147312426142e-05 8.360408284899687493e-07 1.470126655896321184e-08 3.618985025795575472e-06 1.570252848617089208e-07 7.157806115991852710e-08 5.816202982649646728e-10 1.377425201589972399e-06 1.675751017521393027e-07 4.311712506898243936e-09 1.181494778712834124e-07 2.320030699508194196e-07 8.076954038990774706e-07 6.819400390177538235e-08 5.301131210774796918e-05 6.522414901925243399e-05 3.605489583316670940e-06 5.802143629196779642e-05 1.894203657788407294e-06
3.246479068522326372e+01 2.636737945103859602e+03 7.436750187723586460e-03 8.297233754647532766e-01 1.616206098579112960e-01 3.675558106476882318e-04 1.835288825589339946e-06 5.202798066952812233e-04 3.497443853559666733e-08 1.823068581202231889e-06 6.702159876697237227e-05 1.957476398456434500e-05 5.389028054919985040e-07 7.027361319587859437e-09 3.685192264308355343e-06 1.923152055159321764e-07 1.000494945644149947e-07 9.544621114332082026e-10 9.339238542315969051e-07 7.870970219686554374e-08 1.077935961266069510e-09 1.814737549065877100e-07 1.538460231623536280e-07 4.657087338149907652e-07 5.148154493003973847e-08 5.366377418864438985e-05 6.582313724359010554e-05 3.697272197792224405e-06 6.025041089839935861e-05 1.673190143626797239e-06
2.048389811985377662e+01 2.378863615551867042e+03 3.051391039196475145e-03 8.337678555290694016e-01 1.619778243990470934e-01 3.671634566457621595e-04 2.101798166338115070e-06 5.215134326956975559e-04 3.910152286116747356e-08 1.514111104036970743e-06 6.745021290512003367e-05 2.103568088311435648e-05 3.459470067765911357e-07 3.452108832563514964e-09 3.714312644331373557e-06 2.195150855612118250e-07 1.271233746623462007e-07 1.697834884631937988e-09 6.095324247910680356e-07 3.067398772693420343e-08 2.010900864846948406e-10 2.890782213788577175e-07 9.657406199350668676e-08 2.493868226326290538e-07 3.756430902257773001e-08 5.410902203061222472e-05 6.618882589281869047e-05 3.753364131310632331e-06 6.076496709530118955e-05 1.193877954580311785e-06
1.292446596230575651e+01 2.164184121393151145e+03 1.221407125428109397e-03 8.354626023632579779e-01 1.621276131423493583e-01 3.668561690979299256e-04 2.495914671878776848e-06 5.218003829890441227e-04 4.419573253622525981e-08 1.264274683343699366e-06 6.770981003758796198e-05 2.179667701469976683e-05 2.219349763509300124e-07 1.706532335668148791e-09 3.724361124463483598e-06 2.361388546157031085e-07 1.428760801314905499e-07 2.934179429082717539e-09 3.955713157843823606e-07 1.177413710143014476e-08 3.569047261563198467e-11 3.917058780818002824e-07 5.969947518435767384e-08 1.316719836475637364e-07 2.694005657102801877e-08 5.437364990948616165e-05 6.637056202929941904e-05 3.778748441652071573e-06 6.060591077888319972e-05 6.533354483102691255e-07
8.154786722401082599e+00 2.028365330323209037e+03 6.503986133815562159e-04 8.359913406358229215e-01 1.621741400904532227e-01 3.662169681833198033e-04 2.282561215683686018e-06 5.222768571011645765e-04 4.867704678263063791e-08 9.854958019279231562e-07 6.791177743856165541e-05 2.198570454259801967e-05 1.422719854746172734e-07 8.052266445133639230e-10 3.726073793416374193e-06 2.369133900969630483e-07 6.484214146198426432e-08 4.208267639705083454e-09 2.702133290097159325e-07 6.037666828291045722e-09 9.556428530826449664e-12 4.342456920020325124e-07 3.782694235646883280e-08 7.681295315065113850e-08 1.970791484860615469e-08 5.451461370103643454e-05 6.644722858391341718e-05 3.659056663045090384e-06 6.037281774050884940e-05 3.636491148281955360e-07
