#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
1.000553076518779783e-01 2.315211258666150657e-02
1.004555288824854897e-01 2.476783781730786116e-02
1.008573509980154326e-01 2.479259649231681240e-02
1.012607804020075053e-01 2.485162326541539082e-02
1.016658235236155422e-01 2.475893262699664643e-02
1.020724868177099870e-01 2.458521099063325221e-02
1.024807767649808382e-01 2.475517939652646660e-02
1.028906998720407612e-01 2.470932379846228766e-02
1.033022626715289355e-01 2.456958204184354205e-02
1.037154717222150413e-01 2.466591603821447626e-02
1.041303336091038839e-01 2.468853163311298532e-02
1.045468549435403099e-01 2.457304288946557738e-02
1.049650423633144702e-01 2.471999885768622757e-02
1.053849025327677214e-01 2.473841401627580039e-02
1.058064421428987906e-01 2.476571624321183274e-02
1.062296679114703990e-01 2.453945459935945317e-02
1.066545865831162732e-01 2.466494322170743880e-02
1.070812049294487533e-01 2.459884839265612244e-02
1.075095297491665408e-01 2.458246017716574777e-02
1.079395678681632220e-01 2.466649485492580784e-02
1.083713261396358624e-01 2.445123728095574198e-02
1.088048114441943909e-01 2.455917443729922073e-02
1.092400306899711654e-01 2.443924150311591048e-02
1.096769908127310511e-01 2.458218013001557678e-02
1.101156987759819850e-01 2.517915151307651561e-02
1.105561615710859147e-01 2.514639508922751621e-02
1.109983862173702651e-01 2.499360513194961303e-02
1.114423797622397516e-01 2.486972201999628970e-02
1.118881492812886930e-01 2.470950939999490628e-02
1.123357018784138517e-01 2.474874713830922668e-02
1.127850446859275102e-01 2.448943908561328903e-02
1.132361848646712132e-01 2.433978762881068916e-02
1.136891296041298988e-01 2.435526212038999563e-02
1.141438861225464035e-01 2.452824736193466235e-02
1.146004616670366072e-01 2.434353968968022003e-02
1.150588635137047705e-01 2.438022185227320393e-02
1.155190989677595953e-01 2.434261448499379366e-02
1.159811753636306314e-01 2.447402873266071172e-02
1.164451000650851553e-01 2.425928077001018174e-02
1.169108804653455069e-01 2.424246668407547406e-02
1.173785239872068981e-01 2.415412872519734355e-02
1.178480380831557206e-01 2.423898039553983724e-02
1.183194302354883543e-01 2.416159265425041683e-02
1.187927079564302935e-01 2.438507381107457572e-02
1.192678787882560099e-01 2.466250428927770771e-02
1.197449503034090645e-01 2.425911080358527164e-02
1.202239301046226783e-01 2.437389522578777001e-02
1.207048258250411760e-01 2.418595667911552921e-02
1.211876451283413342e-01 2.451298287807068821e-02
1.216723957088547137e-01 2.452107976417446794e-02
1.221590852916901310e-01 2.448408831705895655e-02
1.226477216328568792e-01 2.449409016085398252e-02
1.231383125193883099e-01 2.465149989452171397e-02
1.236308657694658586e-01 2.462623946794057980e-02
1.241253892325437369e-01 2.474969356118330438e-02
1.246218907894739159e-01 2.487169683721403637e-02
1.251203783526317892e-01 2.488006177771572014e-02
1.256208598660423226e-01 2.499645580329283578e-02
1.261233433055065078e-01 2.502634682918524617e-02
1.266278366787285392e-01 2.517184642017529506e-02
1.271343480254434610e-01 2.499823935359715005e-02
1.276428854175452321e-01 2.510209315077729930e-02
1.281534569592154005e-01 2.530431807422480958e-02
1.286660707870522780e-01 2.522338551197500500e-02
1.291807350702004475e-01 2.506206039567549296e-02
1.296974580104812425e-01 2.513143773264251563e-02
1.302162478425231973e-01 2.539672869094517990e-02
1.307371128338932764e-01 2.536710295734146553e-02
1.312600612852288795e-01 2.523425449473130217e-02
1.317851015303697915e-01 2.539615382215753420e-02
1.323122419364912705e-01 2.541494890569348519e-02
1.328414909042372472e-01 2.541088527756165533e-02
1.333728568678542170e-01 2.541467004119876000e-02
1.339063482953256612e-01 2.549574469875184185e-02
1.344419736885069383e-01 2.547318602105189123e-02
1.349797415832609815e-01 2.547814249513643062e-02
1.355196605495940232e-01 2.546302902644315136e-02
1.360617391917924301e-01 2.549027523887536714e-02
1.366059861485595939e-01 2.551572920447756770e-02
1.371524100931538481e-01 2.553528942031500770e-02
1.377010197335264696e-01 2.552575966446129704e-02
1.382518238124605670e-01 2.548416239346385642e-02
1.388048311077104136e-01 2.550618362522771854e-02
1.393600504321412248e-01 2.552903343246560458e-02
1.399174906338697677e-01 2.555127027227320144e-02
1.404771605964052761e-01 2.552279052201462603e-02
1.410390692387908651e-01 2.553950299189114426e-02
1.416032255157460562e-01 2.549009605858271882e-02
1.421696384178090522e-01 2.556020463086806221e-02
1.427383169714803168e-01 2.553450612541263709e-02
1.433092702393662099e-01 2.546155991432663343e-02
1.438825073203236771e-01 2.551332030869987028e-02
1.444580373496049674e-01 2.544279726948972184e-02
1.450358694990033503e-01 2.552526730650955811e-02
1.456160129769993872e-01 2.548165268632140296e-02
1.461984770289073976e-01 2.541883362354006859e-02
1.467832709370230082e-01 2.551198859055034407e-02
1.473704040207710897e-01 2.549178594076338331e-02
1.479598856368541382e-01 2.555004597464725219e-02
1.485517251794015725e-01 2.547775671557667848e-02
1.491459320801191979e-01 2.543528725034218882e-02
1.497425158084396690e-01 2.548024872858833598e-02
1.503414858716734248e-01 2.538320130760093191e-02
1.509428518151600951e-01 2.546148851641853034e-02
1.515466232224207677e-01 2.551878608742980808e-02
1.521528097153104220e-01 2.542421588321305478e-02
1.527614209541716672e-01 2.548427790432162415e-02
1.533724666379883694e-01 2.544530259324224303e-02
1.539859565045403056e-01 2.534498584556900413e-02
1.546019003305584838e-01 2.555600333721338296e-02
1.552203079318807133e-01 2.544252106987371365e-02
1.558411891636082569e-01 2.544918143716863590e-02
1.564645539202626778e-01 2.547975096169907347e-02
1.570904121359437411e-01 2.534908864516110041e-02
1.577187737844875093e-01 2.540877154248977893e-02
1.583496488796254653e-01 2.530255751913124823e-02
